trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,distance,distance_ratio,pku_time,dpo_time,avg_speed,pku_LGA,dpo_LGA
9.8,-73.86328887939453,40.76900100708008,-73.97023010253906,40.78907012939453,5.756624353426343,1.7023865721179186,2016-05-17 00:21:04,2016-05-17 00:39:23,32.10191082802548,0.4562997448681275,5.340942850252691
10.41,-73.86309814453125,40.768959045410156,-73.99114990234375,40.74339294433594,6.921472414421322,1.5040152407904006,2016-05-17 00:21:05,2016-05-17 00:44:04,27.17621464829587,0.4659942258214769,6.642212496855519
3.26,-73.86739349365234,40.76925659179688,-73.91230773925781,40.764461517333984,2.370365968260871,1.3753150541525239,2016-05-17 00:21:08,2016-05-17 00:31:48,18.3375,0.2986114678826242,2.276677052572889
4.97,-73.87074279785155,40.77377700805664,-73.9239501953125,40.7453727722168,3.4021074946444476,1.4608591903176804,2016-05-17 00:21:14,2016-05-17 00:35:15,21.274673008323425,0.05910389489839618,3.394192139430817
5.7,-73.8634033203125,40.769935607910156,-73.84487915039062,40.72382354736328,3.325823643137612,1.7138611699273896,2016-05-17 00:21:26,2016-05-17 00:34:02,27.142857142857146,0.41515670274263194,3.643631714774072
7.86,-73.86271667480467,40.76902770996094,-73.95672607421875,40.74765396118164,5.130000433528422,1.5321636132092644,2016-05-17 00:21:33,2016-05-17 00:37:01,30.49137931034483,0.4793504704058997,4.847463973649644
9.3,-73.87081146240234,40.7738037109375,-73.98387908935547,40.72214126586913,6.902213243378552,1.3473938970114694,2016-05-17 00:21:36,2016-05-17 00:35:30,40.143884892086334,0.06241787425457019,6.900402958775378
10.41,-73.87088775634766,40.773685455322266,-73.9786148071289,40.76644134521485,5.651554263990913,1.8419711664679044,2016-05-17 00:21:41,2016-05-17 00:41:37,31.33444816053512,0.05771538716994409,5.681940597460431
17.2,-73.86388397216798,40.769844055175774,-73.68142700195312,40.76567459106445,9.539177677846164,1.8030904319924106,2016-05-17 00:21:43,2016-05-17 00:55:37,30.442477876106196,0.39722798226026024,9.879212885172862
11.5,-73.86348724365234,40.76997375488281,-73.98429870605469,40.75997161865234,6.351240348862238,1.8106699429285669,2016-05-17 00:21:44,2016-05-17 00:49:21,24.984912492456246,0.4100419545140012,6.028667380173749
9.27,-73.8636703491211,40.770118713378906,-73.95992279052734,40.773433685302734,5.034856113688441,1.8411648298741492,2016-05-17 00:21:44,2016-05-17 00:43:31,25.533282325937257,0.39672089055259974,4.686879422955657
8.0,-73.87066650390625,40.77363967895508,-73.95584106445312,40.82227325439453,5.572674726005181,1.4355763423024812,2016-05-17 00:21:48,2016-05-17 00:42:17,23.43368592351505,0.048856344581936016,5.616953719422326
8.9,-73.87313079833984,40.77410888671875,-73.93719482421875,40.849063873291016,6.159696276464954,1.4448764355484918,2016-05-17 00:21:52,2016-05-17 00:35:44,38.50961538461539,0.16938022408689982,6.306043674383635
